Seqno,RecvTime,U1,I1,U2,I2,U3,I3
289,1743738062356234,-119.060,-5.412,308.475,14.020,-189.394,-8.608
290,1743738062356240,-104.812,-4.766,306.107,13.914,-201.295,-9.148
291,1743738062356245,-90.306,-4.105,303.008,13.771,-212.680,-9.666
292,1743738062356250,-75.607,-3.436,299.177,13.600,-223.571,-10.164
293,1743738062356256,-60.692,-2.757,294.615,13.392,-233.923,-10.631
294,1743738062356262,-45.648,-2.074,289.363,13.152,-243.694,-11.079
295,1743738062356267,-30.497,-1.385,283.402,12.880,-252.905,-11.494
296,1743738062356273,-15.259,-0.693,276.751,12.580,-261.492,-11.887
297,1743738062356279,0.000,0.000,269.434,12.247,-269.434,-12.247
298,1743738062356284,15.259,0.693,261.492,11.887,-276.751,-12.580
299,1743738062356290,30.497,1.385,252.905,11.494,-283.402,-12.880
300,1743738062356295,45.648,2.074,243.694,11.079,-289.363,-13.152
301,1743738062356301,60.692,2.757,233.923,10.631,-294.615,-13.392
302,1743738062356307,75.607,3.436,223.571,10.164,-299.177,-13.600
303,1743738062356312,90.306,4.105,212.680,9.666,-303.008,-13.771
304,1743738062356318,104.812,4.766,201.295,9.148,-306.107,-13.914
305,1743738062356323,119.060,5.412,189.394,8.608,-308.475,-14.020
306,1743738062356328,133.027,6.045,177.061,8.049,-310.089,-14.094
307,1743738062356334,146.672,6.668,164.299,7.467,-310.950,-14.136
308,1743738062356342,159.952,7.269,151.127,6.872,-311.079,-14.141
309,1743738062356348,172.843,7.855,137.612,6.253,-310.455,-14.113
310,1743738062356353,185.347,8.423,123.752,5.625,-309.099,-14.048
311,1743738062356359,197.378,8.973,109.590,4.983,-306.968,-13.951
312,1743738062356364,208.936,9.499,95.170,4.327,-304.106,-13.822
313,1743738062356369,219.998,9.998,80.535,3.662,-300.533,-13.660
314,1743738062356375,230.522,10.478,65.685,2.983,-296.207,-13.466
315,1743738062356380,240.508,10.931,50.684,2.304,-291.193,-13.235
316,1743738062356386,249.892,11.360,35.554,1.616,-285.468,-12.977
317,1743738062356392,258.694,11.758,20.338,0.924,-279.033,-12.686
318,1743738062356397,266.873,12.132,5.101,0.231,-271.952,-12.363
319,1743738062356403,274.384,12.473,-10.180,-0.462,-264.204,-12.012
320,1743738062356408,281.249,12.783,-25.417,-1.155,-255.832,-11.628
321,1743738062356414,287.448,13.064,-40.612,-1.847,-246.836,-11.222
322,1743738062356420,292.936,13.314,-55.699,-2.531,-237.237,-10.783
323,1743738062356425,297.735,13.531,-70.657,-3.210,-227.079,-10.321
324,1743738062356431,301.803,13.720,-85.442,-3.884,-216.361,-9.836
325,1743738062356447,305.139,13.873,-100.013,-4.544,-205.148,-9.324
326,1743738062356452,307.765,13.988,-114.346,-5.195,-193.418,-8.793
327,1743738062356458,309.637,14.076,-128.400,-5.837,-181.215,-8.239
328,1743738062356463,310.756,14.127,-142.153,-6.461,-168.603,-7.661
329,1743738062356484,311.122,14.141,-155.561,-7.070,-155.561,-7.070
330,1743738062356489,310.756,14.127,-168.603,-7.661,-142.153,-6.461
331,1743738062356494,309.637,14.076,-181.215,-8.239,-128.400,-5.837
332,1743738062356500,307.765,13.988,-193.418,-8.793,-114.346,-5.195
333,1743738062356505,305.139,13.873,-205.148,-9.324,-100.013,-4.544
334,1743738062356510,301.803,13.720,-216.361,-9.836,-85.442,-3.884
335,1743738062356515,297.735,13.531,-227.079,-10.321,-70.657,-3.210
336,1743738062356521,292.936,13.314,-237.237,-10.783,-55.699,-2.531
337,1743738062356527,287.448,13.064,-246.836,-11.222,-40.612,-1.847
